libellé métier,lien site onisep.fr,nom publication,collection,année,gencod,GFE,code ROME,libellé ROME,lien ROME
officier / officière de la Marine nationale,http://www.onisep.fr/http/redirection/metier/identifiant/10274,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1703,Direction opérationnelle de la défense,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1703
officier / officière de l'armée de l'air,http://www.onisep.fr/http/redirection/metier/identifiant/10271,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1703,Direction opérationnelle de la défense,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1703
teinturier / teinturière blanchisseur / blanchisseuse,http://www.onisep.fr/http/redirection/metier/identifiant/10268,,Fiches métiers / onisep.fr,,,"L : Textile, habillement, cuir",K2201,Blanchisserie industrielle,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K2201
officier / officière de police,http://www.onisep.fr/http/redirection/metier/identifiant/10265,Les métiers de la défense et de la sécurité publique,Parcours,2016,9782273012362,"T : Environnement, nettoyage, sécurité",K1704,Management de la sécurité publique,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1704
concepteur / conceptrice de jeux vidéo,http://www.onisep.fr/http/redirection/metier/identifiant/100301,Les métiers du web,Parcours,2015,9782273012270,"U : Communication, médias",E1104,Conception de contenus multimédias,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=E1104
sapeur-pompier,http://www.onisep.fr/http/redirection/metier/identifiant/10263,,Fiches métiers / onisep.fr,,,"T : Environnement, nettoyage, sécurité",K1702,Direction de la sécurité civile et des secours,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=K1702
gestionnaire de parc micro-informatique,http://www.onisep.fr/http/redirection/metier/identifiant/10060,Les métiers de l'informatique,Parcours,2017,9782273013291,"P : Gestion et traitement de l'information (informatique, statistique, documentation)",M1810,Production et exploitation de systèmes d'information,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1810
chargé / chargée d'études en marketing,http://www.onisep.fr/http/redirection/metier/identifiant/10062,"Les métiers du marketing, de la publicité et de la vente",Parcours,2016,9782273012799,"Q : Commerce, gestion, finances",M1403,Études et prospectives socio-économiques,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=M1403
marchandiseur / marchandiseuse,http://www.onisep.fr/http/redirection/metier/identifiant/10064,Les métiers du commerce et de la vente,Parcours,2018,9782273013864,"Q : Commerce, gestion, finances",D1506,Marchandisage,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1506
ingénieur technico-commercial / ingénieure technico-commerciale,http://www.onisep.fr/http/redirection/metier/identifiant/10066,Les métiers de l'électronique et de la robotique,Parcours,2015,9782273012317,"Q : Commerce, gestion, finances",D1407,Relation technico-commerciale,http://candidat.pole-emploi.fr/marche-du-travail/fichemetierrome?codeRome=D1407
